['1695.2.a.c', '1695.2.a.h']
['1696.2.a.b', '1696.2.a.j']
['1696.2.a.e', '1696.2.a.k']
['1701.2.a.r', '243.2.a.c']
['171.2.a.a', '8379.2.a.s']
['1710.2.a.g', '1710.2.a.k']
['1713.2.a.b', '1713.2.a.c']
['1713.2.a.c', '1713.2.a.d']
['1725.2.a.bf', '1725.2.a.i']
['1725.2.a.bj', '1725.2.a.n']
['1734.2.a.i', '1734.2.a.k']
['1734.2.a.l', '1734.2.a.m']
['1737.2.a.c', '1737.2.a.f']
['1738.2.a.b', '1738.2.a.f']
['1738.2.a.g', '1738.2.a.k']
['1740.2.a.f', '1740.2.a.n']
['1744.2.a.e', '1744.2.a.k']
['1746.2.a.a', '1746.2.a.m']
['1746.2.a.b', '1746.2.a.m']
['1755.2.a.a', '1755.2.a.k']
['1755.2.a.f', '1755.2.a.g']
['1764.2.a.a', '1764.2.a.l']
['1764.2.a.b', '1764.2.a.c']
['1764.2.a.e', '1764.2.a.f']
['1764.2.a.h', '1764.2.a.i']
['1764.2.a.j', '1764.2.a.l']
['1768.2.a.h', '1768.2.a.m']
['1775.2.a.f', '1775.2.a.i']
['1782.2.a.a', '1782.2.a.f']
['1782.2.a.g', '1782.2.a.l']
['1794.2.a.e', '1794.2.a.t']
['1800.2.a.a', '1800.2.a.r']
['1800.2.a.h', '1800.2.a.x']
['1805.2.a.a', '1805.2.a.h']
['1805.2.a.b', '1805.2.a.g']
['1806.2.a.k', '258.2.a.e']
['1806.2.a.n', '1806.2.a.t']
['1813.2.a.a', '1813.2.a.h']
['1813.2.a.b', '1813.2.a.d']
['1816.2.a.c', '1816.2.a.d']
['182.2.a.a', '26.2.a.a']
['1827.2.a.f', '1827.2.a.h']
['1827.2.a.f', '261.2.a.d']
['1827.2.a.m', '261.2.a.d']
['1830.2.a.f', '1830.2.a.o']
['1836.2.a.a', '1836.2.a.i']
['1836.2.a.b', '1836.2.a.h']
['1845.2.a.d', '1845.2.a.k']
['1854.2.a.a', '1854.2.a.k']
['1854.2.a.d', '1854.2.a.t']
['1862.2.a.a', '1862.2.a.o']
['1862.2.a.b', '1862.2.a.h']
['1862.2.a.b', '1862.2.a.s']
['1862.2.a.c', '1862.2.a.p']
['1862.2.a.d', '1862.2.a.v']
['1862.2.a.e', '1862.2.a.u']
['1862.2.a.f', '1862.2.a.u']
['1862.2.a.h', '1862.2.a.s']
['1862.2.a.i', '1862.2.a.n']
['1862.2.a.i', '1862.2.a.s']
['1862.2.a.j', '1862.2.a.t']
['1862.2.a.j', '1862.2.a.q']
['1862.2.a.n', '1862.2.a.s']
['1862.2.a.q', '1862.2.a.t']
['1870.2.a.d', '1870.2.a.p']
['1872.2.a.m', '1872.2.a.w']
['1876.2.a.c', '1876.2.a.d']
['1881.2.a.a', '1881.2.a.j']
['1898.2.a.c', '1898.2.a.f']
['1900.2.a.b', '1900.2.a.e']
['1904.2.a.e', '1904.2.a.s']
['1911.2.a.d', '1911.2.a.q']
['1911.2.a.e', '1911.2.a.r']
['1911.2.a.g', '1911.2.a.h']
['1918.2.a.e', '1918.2.a.h']
['192.2.a.b', '9408.2.a.dh']
['192.2.a.d', '9408.2.a.dv']
['1925.2.a.h', '1925.2.a.x']
['1935.2.a.a', '1935.2.a.r']
['194.2.a.a', '194.2.a.c']
['1946.2.a.e', '278.2.a.a']
['1946.2.a.f', '278.2.a.c']
['1950.2.a.a', '1950.2.a.e']
['1950.2.a.bb', '1950.2.a.x']
['1956.2.a.a', '1956.2.a.c']
['196.2.a.a', '196.2.a.c']
['196.2.a.b', '196.2.a.c']
['1960.2.a.a', '1960.2.a.u']
['1960.2.a.b', '1960.2.a.t']
['1960.2.a.c', '1960.2.a.x']
['1960.2.a.d', '1960.2.a.e']
['1960.2.a.f', '1960.2.a.w']
['1960.2.a.g', '1960.2.a.x']
['1960.2.a.h', '1960.2.a.i']
['1960.2.a.j', '1960.2.a.v']
['1960.2.a.l', '1960.2.a.y']
['1960.2.a.m', '1960.2.a.q']
['1960.2.a.n', '1960.2.a.p']
['1960.2.a.p', '1960.2.a.q']
['1960.2.a.t', '1960.2.a.u']
['1960.2.a.v', '1960.2.a.x']
['1960.2.a.w', '1960.2.a.y']
['1964.2.a.b', '1964.2.a.c']
['1968.2.a.c', '1968.2.a.r']
['1978.2.a.h', '1978.2.a.i']
['1990.2.a.a', '1990.2.a.e']
['1995.2.a.d', '1995.2.a.m']
['1995.2.a.e', '1995.2.a.t']
['2002.2.a.j', '286.2.a.a']
['2002.2.a.k', '286.2.a.e']
['2006.2.a.d', '2006.2.a.n']
['2007.2.a.d', '2007.2.a.e']
['2007.2.a.d', '2007.2.a.g']
['2007.2.a.d', '2007.2.a.i']
['2007.2.a.e', '2007.2.a.h']
['2007.2.a.e', '2007.2.a.g']
['2007.2.a.e', '2007.2.a.i']
['2007.2.a.g', '2007.2.a.i']
['203.2.a.e', '29.2.a.a']
['2034.2.a.h', '2034.2.a.p']
['2034.2.a.o', '2034.2.a.s']
['2034.2.a.o', '2034.2.a.p']
['2035.2.a.a', '2035.2.a.e']
['2046.2.a.j', '2046.2.a.o']
['2050.2.a.h', '2050.2.a.r']
['2054.2.a.i', '2054.2.a.k']
['2064.2.a.d', '2064.2.a.s']
['2064.2.a.i', '2064.2.a.v']
['2072.2.a.b', '296.2.a.c']
['2072.2.a.c', '2072.2.a.g']
['2086.2.a.b', '2086.2.a.d']
['2088.2.a.b', '2088.2.a.u']
['2088.2.a.i', '2088.2.a.v']
['2088.2.a.k', '2088.2.a.q']
['2090.2.a.c', '2090.2.a.x']
['2090.2.a.i', '2090.2.a.p']
['2098.2.a.c', '9574.2.a.f']
['2098.2.a.c', '4006.2.a.e']
['2098.2.a.c', '3274.2.a.c']
['2098.2.a.c', '3694.2.a.c']
['2100.2.a.f', '300.2.a.b']
['2100.2.a.l', '300.2.a.c']
['2107.2.a.b', '2107.2.a.e']
['2114.2.a.b', '302.2.a.d']
['2118.2.a.k', '2118.2.a.l']
['2124.2.a.a', '2124.2.a.h']
['2128.2.a.g', '304.2.a.c']
['2128.2.a.p', '304.2.a.f']
['2139.2.a.a', '2139.2.a.h']
['2145.2.a.f', '2145.2.a.p']
['2154.2.a.e', '2154.2.a.j']
['2154.2.a.j', '2154.2.a.k']
['2156.2.a.a', '2156.2.a.f']
['2156.2.a.d', '2156.2.a.k']
['2156.2.a.d', '2156.2.a.g']
['2156.2.a.e', '2156.2.a.h']
['2156.2.a.e', '2156.2.a.i']
['2156.2.a.g', '2156.2.a.m']
['2156.2.a.h', '2156.2.a.l']
['2156.2.a.i', '2156.2.a.l']
['2156.2.a.k', '2156.2.a.m']
['2170.2.a.bf', '2170.2.a.c']
['2170.2.a.g', '2170.2.a.s']
['2175.2.a.g', '2175.2.a.t']
['2184.2.a.b', '2184.2.a.h']
['2184.2.a.m', '2184.2.a.s']
['2192.2.a.f', '2192.2.a.h']
['2205.2.a.a', '2205.2.a.bd']
['2205.2.a.ba', '2205.2.a.bg']
['2205.2.a.bb', '2205.2.a.g']
['2205.2.a.bb', '2205.2.a.bh']
['2205.2.a.bc', '2205.2.a.bi']
['2205.2.a.bc', '2205.2.a.h']
['2205.2.a.bd', '2205.2.a.bh']
['2205.2.a.be', '2205.2.a.c']
['2205.2.a.be', '2205.2.a.bi']
['2205.2.a.bf', '2205.2.a.d']
['2205.2.a.bf', '45.2.a.a']
['2205.2.a.bf', '2205.2.a.z']
['2205.2.a.bg', '2205.2.a.f']
['2205.2.a.bg', '2205.2.a.i']
['2205.2.a.j', '2205.2.a.n']
['2205.2.a.j', '2205.2.a.o']
['2205.2.a.j', '2205.2.a.k']
['2205.2.a.k', '2205.2.a.n']
['2205.2.a.k', '2205.2.a.o']
['2205.2.a.l', '2205.2.a.r']
['2205.2.a.l', '2205.2.a.m']
['2205.2.a.l', '2205.2.a.q']
['2205.2.a.m', '2205.2.a.r']
['2205.2.a.m', '2205.2.a.q']
['2205.2.a.n', '2205.2.a.t']
['2205.2.a.n', '2205.2.a.o']
['2205.2.a.o', '2205.2.a.s']
['2205.2.a.q', '2205.2.a.v']
['2205.2.a.q', '2205.2.a.r']
['2205.2.a.r', '2205.2.a.u']
['2205.2.a.s', '2205.2.a.t']
['2205.2.a.u', '2205.2.a.v']
